--- When using SR data, please cite us and provide a link and/or a mention.
Santa Clara,WCC
James Madison,CAA
Cal State Bakersfield,Big West
Bowling Green State,MAC (East)
VMI,Southern
North Dakota State,Summit
Iowa State,Big 12
Morehead State,OVC
Drexel,CAA
Maryland-Baltimore County,AEC
Northeastern,CAA
Old Dominion,CUSA
Iona,MAAC
New Mexico State,WAC
Texas-San Antonio,CUSA
Wyoming,MWC
South Dakota,Summit
Bryant,NEC
Nevada-Las Vegas,MWC
Chattanooga,Southern
Stephen F. Austin,Southland
Georgia State,Sun Belt
Northern Iowa,MVC
Bellarmine,A-Sun
Ball State,MAC (West)
Florida Atlantic,CUSA
Loyola (MD),Patriot
Miami (OH),MAC (East)
Eastern Kentucky,OVC
Coastal Carolina,Sun Belt
Hofstra,CAA
Murray State,OVC
Hawaii,Big West
Jacksonville State,OVC
Sam Houston State,Southland
Utah Valley,WAC
Hartford,AEC
Southern Illinois,MVC
Fresno State,MWC
La Salle,A-10
Montana,Big Sky
Detroit Mercy,Horizon
Boston University,Patriot
Rice,CUSA
Texas State,Sun Belt
Gardner-Webb,Big South
Siena,MAAC
Valparaiso,MVC
Albany (NY),AEC
Saint Joseph's,A-10
Louisiana,Sun Belt
Evansville,MVC
Missouri-Kansas City,Summit
College of Charleston,CAA
Holy Cross,Patriot
Cleveland State,Horizon
Delaware,CAA
Nicholls State,Southland
San Diego,WCC
Seattle,WAC
California Baptist,WAC
Elon,CAA
Wagner,NEC
Lafayette,Patriot
Illinois State,MVC
Saint Peter's,MAAC
Montana State,Big Sky
Mount St. Mary's,NEC
Charlotte,CUSA
George Washington,A-10
UC-Davis,Big West
Appalachian State,Sun Belt
Monmouth,MAAC
South Alabama,Sun Belt
Massachusetts-Lowell,AEC
Citadel,Southern
Stony Brook,AEC
Texas Southern,SWAC
Norfolk State,MEAC
Radford,Big South
American,Patriot
Cal State Fullerton,Big West
Portland State,Big Sky
Little Rock,Sun Belt
Morgan State,MEAC
Austin Peay,OVC
Northern Colorado,Big Sky
Northern Kentucky,Horizon
Campbell,Big South
North Carolina-Wilmington,CAA
Southern Mississippi,CUSA
UC-San Diego,Big West
North Carolina-Asheville,Big South
Lipscomb,A-Sun
Texas-Arlington,Sun Belt
Stetson,A-Sun
Tarleton State,WAC
Western Carolina,Southern
Niagara,MAAC
Milwaukee,Horizon
Long Island University,NEC
Sacramento State,Big Sky
Bucknell,Patriot
Longwood,Big South
Arkansas State,Sun Belt
Prairie View,SWAC
New Hampshire,AEC
Idaho State,Big Sky
Cal State Long Beach,Big West
Canisius,MAAC
Cal State Northridge,Big West
Samford,Southern
Marist,MAAC
Merrimack,NEC
Quinnipiac,MAAC
Oakland,Horizon
Florida Gulf Coast,A-Sun
Texas-Rio Grande Valley,WAC
NJIT,AEC
Youngstown State,Horizon
Towson,CAA
North Alabama,A-Sun
Green Bay,Horizon
Fairleigh Dickinson,NEC
Southeast Missouri State,OVC
Georgia Southern,Sun Belt
St. Francis (NY),NEC
Saint Francis (PA),NEC
North Dakota,Summit
Louisiana-Monroe,Sun Belt
High Point,Big South
Middle Tennessee,CUSA
New Orleans,Southland
Jacksonville,A-Sun
Florida International,CUSA
William & Mary,CAA
Jackson State,SWAC
Fairfield,MAAC
North Florida,A-Sun
Western Michigan,MAC (West)
IUPUI,Horizon
Fordham,A-10
Illinois-Chicago,Horizon
Troy,Sun Belt
Purdue-Fort Wayne,Horizon
Sacred Heart,NEC
Manhattan,MAAC
Binghamton,AEC
Rider,MAAC
Central Michigan,MAC (West)
Florida A&M,MEAC
Coppin State,MEAC
New Mexico,MWC
Western Illinois,Summit
Portland,WCC
Eastern Illinois,OVC
Omaha,Summit
Lehigh,Patriot
Northern Arizona,Big Sky
Air Force,MWC
Lamar,Southland
Robert Morris,Horizon
Northwestern State,Southland
Southern,SWAC
Hampton,Big South
Cal Poly,Big West
South Carolina Upstate,Big South
Presbyterian,Big South
Dixie State,WAC
Tennessee State,OVC
Tennessee Tech,OVC
Kennesaw State,A-Sun
Eastern Michigan,MAC (West)
Howard,MEAC
Grambling,SWAC
North Carolina A&T,MEAC
Central Arkansas,Southland
SIU Edwardsville,OVC
Central Connecticut State,NEC
Maine,AEC
Incarnate Word,Southland
North Carolina Central,MEAC
Denver,Summit
Charleston Southern,Big South
Houston Baptist,Southland
Texas A&M-Corpus Christi,Southland
Southeastern Louisiana,Southland
San Jose State,MWC
Northern Illinois,MAC (West)
Idaho,Big Sky
McNeese State,Southland
Alabama A&M,SWAC
Tennessee-Martin,OVC
Alcorn State,SWAC
Arkansas-Pine Bluff,SWAC
Delaware State,MEAC
Alabama State,SWAC
South Carolina State,MEAC
Chicago State,WAC
Mississippi Valley State,SWAC
Brown,Ivy
Columbia,Ivy
Cornell,Ivy
Dartmouth,Ivy
Harvard,Ivy
Maryland-Eastern Shore,MEAC
Pennsylvania,Ivy
Princeton,Ivy
Yale,Ivy


